ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,request_type,client,service,success,till,cipher,forwardable,renewable,error_msg
2019-07-20T15:10:17.312420Z,CG2fHGatKXKTpsyh6,10.99.99.152,52962,10.99.99.5,88,TGS,jdoe/G.LAB,RPCSS/hr-win7-2,True,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,True,True,
2019-07-20T15:10:17.345530Z,CRUEAq4YtJkoBSShid,10.99.99.152,52965,10.99.99.5,88,TGS,jdoe/G.LAB,bduck,True,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,True,True,
2019-07-20T17:15:20.038177Z,CTk8QH20I5oC7wqQN9,10.99.99.30,57311,10.99.99.5,88,TGS,bduck/G.LAB,host/RnD-Win10-2.g.lab,True,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,True,True,
2019-07-20T21:01:49.480394Z,C5XKvBZyCZ4Bpic65,10.99.99.27,49702,10.99.99.5,88,TGS,RND-WIN10-2$/G.LAB,GC/CORP-DC.g.lab/g.lab,True,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,True,True,
2019-07-20T21:02:01.323257Z,CvE9GVJpVxLGrTsO2,10.99.99.29,49702,10.99.99.5,88,TGS,RND-WIN10-1$/G.LAB,GC/CORP-DC.g.lab/g.lab,True,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,True,True,
2019-07-21T13:42:01.812312Z,CJQGFI1WYwA4hnajS4,10.99.99.152,52742,10.99.99.5,88,TGS,jdoe/G.LAB,host/RnD-Win10-2.g.lab,True,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,True,True,
2019-07-21T13:44:02.233890Z,Cdo3iN17MkD2D4SSKk,10.99.99.152,52759,10.99.99.5,88,TGS,jdoe/G.LAB,host/RnD-Win10-1.g.lab,True,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,True,True,
2019-07-21T13:51:05.570300Z,CaKSyP3tBxtPmUfbs1,10.99.99.30,65211,10.99.99.5,88,TGS,bduck/G.LAB,host/RnD-Win10-2.g.lab,True,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,True,True,
2019-07-21T15:02:53.659043Z,C1jGntzIYAIF8NB33,10.99.99.30,50306,10.99.99.5,88,AS,local.admin/G.LAB,krbtgt/G.LAB,False,2037-09-13T02:48:05.000000Z,,True,True,KDC_ERR_C_PRINCIPAL_UNKNOWN
2019-07-21T15:02:54.387968Z,C9qYNL1PMeaOlhux19,10.99.99.30,50309,10.99.99.5,88,AS,local.admin/G.LAB,krbtgt/G.LAB,False,2037-09-13T02:48:05.000000Z,,True,True,KDC_ERR_C_PRINCIPAL_UNKNOWN
