ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,request_type,client,service,success,till,cipher,forwardable,renewable,error_msg
2019-07-19T00:05:03.935567Z,CsfYxeeOTIm7Acda,10.99.99.30,52178,10.99.99.5,88,TGS,HR-WIN7-2$/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,false,false,
2019-07-19T00:05:03.936682Z,CJiFxn4r4DIYhPOY2b,10.99.99.30,52179,10.99.99.5,88,TGS,HR-WIN7-2$/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
2019-07-19T00:08:55.924635Z,Cwb7Cu4FQGnwJnWei6,10.99.99.160,2043,10.99.99.5,88,TGS,SUPERSECRETXP$/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,rc4-hmac,true,true,
2019-07-19T00:13:13.299460Z,CPwlT02KwU0RKd9Tx2,10.99.99.30,52206,10.99.99.5,88,TGS,bduck/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,false,false,
2019-07-19T00:13:13.300481Z,CcUWGLGrIz9plUQ3j,10.99.99.30,52207,10.99.99.5,88,TGS,bduck/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
2019-07-19T00:20:03.952860Z,Cs62TC3YwRpaqHq4c7,10.99.99.30,52237,10.99.99.5,88,TGS,HR-WIN7-2$/G.LAB,cifs/CORP-DC.g.lab,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
2019-07-19T00:23:26.899422Z,CnIFGB2L25rvRIOAR4,10.99.99.30,52249,10.99.99.5,88,TGS,bduck/G.LAB,cifs/corp-dc.g.lab,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
2019-07-19T00:23:56.029918Z,Cx9Pd31SKgQ2p2lRmf,10.99.99.160,2049,10.99.99.5,88,TGS,SUPERSECRETXP$/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,rc4-hmac,true,true,
2019-07-19T00:27:19.779847Z,CtpIJJ3hzElN6BRtGb,10.99.99.152,56551,10.99.99.5,88,TGS,HR-WIN7-1$/G.LAB,hr-win7-1$@G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
2019-07-19T00:27:19.781538Z,Ctlz0l4uECucCJc66,10.99.99.152,56552,10.99.99.5,88,TGS,,hr-win7-1$@G.LAB,false,2019-07-18T17:42:27.000000Z,,true,true,KDC_ERR_BADOPTION
2019-07-19T00:28:18.937251Z,CwyT0q6mCjep6eeDi,10.99.99.30,52267,10.99.99.5,88,TGS,bduck/G.LAB,LDAP/CORP-DC.g.lab/g.lab,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
2019-07-19T00:28:33.710266Z,CppQNe2lYacDxaJbMe,10.99.99.30,52271,10.99.99.5,88,TGS,bduck/G.LAB,ldap/CORP-DC.g.lab,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
2019-07-19T00:38:56.035446Z,C59DU42trT8kjs4Eo7,10.99.99.160,2056,10.99.99.5,88,TGS,SUPERSECRETXP$/G.LAB,cifs/CORP-DC.g.lab,true,2037-09-13T02:48:05.000000Z,rc4-hmac,true,true,
2019-07-19T00:38:56.037199Z,CwyHRT1m9nQI8L6ei4,10.99.99.160,2057,10.99.99.5,88,TGS,SUPERSECRETXP$/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,rc4-hmac,true,true,
2019-07-19T00:42:34.096446Z,CX2jPu2UA7WHfl84h7,10.99.99.30,52325,10.99.99.5,88,TGS,HR-WIN7-2$/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,false,false,
2019-07-19T00:46:22.407449Z,CIn63y39kmql4uKiYk,10.99.99.152,56632,10.99.99.5,88,TGS,HR-WIN7-1$/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,false,false,
2019-07-19T00:46:22.408426Z,CrlRlxZ0XtEm2gMd4,10.99.99.152,56633,10.99.99.5,88,TGS,HR-WIN7-1$/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
2019-07-19T00:48:14.605046Z,C80zmn3BjutSAseB5k,10.99.99.152,56641,10.99.99.5,88,TGS,jdoe/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,false,false,
2019-07-19T00:48:14.606240Z,CsJ4VY3WtEdGrrQeg,10.99.99.152,56642,10.99.99.5,88,TGS,jdoe/G.LAB,krbtgt/G.LAB,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
2019-07-19T00:49:52.178544Z,CS4Zjr4zmhv10UtXJj,10.99.99.30,52353,10.99.99.5,88,TGS,HR-WIN7-2$/G.LAB,DNS/corp-dc.g.lab,true,2037-09-13T02:48:05.000000Z,aes256-cts-hmac-sha1-96,true,true,
